id,title,status,release_date,duration,nb_seasons,nb_episodes,genres,directors,actors,nationality,press_rating,nb_press_rating,spect_rating,nb_spect_rating,summary,poster_link
22398,Gentleman Jack,En cours,Depuis 2019,60,2,16,"Drame, Historique, Biopic",Sally Wainwright,"Suranne Jones, Sophie Rundle, Gemma Whelan","Grande-Bretagne, U.S.A.",,,4.2,210,"Anne Lister, propriétaire terrienne homosexuelle, veut briser les conventions sociales et épouser une riche héritière nommée Ann Walker pendant la Révolution Industrielle, au grand dam de leurs familles respectives...",https://fr.web.img4.acsta.net/c_310_420/pictures/19/04/12/09/20/4986988.jpg
25797,I May Destroy You,En cours,Depuis 2020,30,1,12,Drame,Michaela Coel,"Michaela Coel, Weruche Opia, Paapa Essiedu",Grande-Bretagne,3.9,8,3.9,273,"Après le triomphe d’un papier sur Internet, Arabella Essiuedu – facilement distraite, insouciante et qui ne s’engage pas – se retrouve honorée comme la « voix de sa génération », avec un agent, une commande de livre et une sacrée pression. Après avoir été agressée sexuellement dans une boîte de nuit, sa vie change de manière irréversible et Arabella est obligée de tout remettre en question : sa carrière, ses amis et même sa famille. Alors qu’Arabella peine à comprendre ce qui s’est passé, elle commence une introspection.",https://fr.web.img6.acsta.net/c_310_420/pictures/21/02/11/14/10/3344938.jpg
23142,Kiri,Terminée,2018,60,1,4,Drame,Jack Thorne,"Sarah Lancashire, Lia Williams, Lucian Msamati",Grande-Bretagne,,,3.1,20,"Assistante sociale, Miriam voit sa vie propulsée sous les projecteurs lorsqu'elle est tenue pour responsable de la disparition de Kiri, une fille sur le point d’être adoptée, kidnappée à la suite d'une visite non approuvée chez ses grands-parents biologiques.",https://fr.web.img6.acsta.net/c_310_420/pictures/22/02/17/15/21/0575264.jpg
5126,NCIS : Los Angeles,En cours,Depuis 2009,42,14,324,"Drame, Policier",Shane Brennan,"Chris O'Donnell, LL Cool J, Daniela Ruah",U.S.A.,,,3.2,5815,"L’O.P.S. (Office des Projets Spéciaux) est une division du NCIS basée à Los Angeles et spécialisée dans les missions d’infiltration. “Tête brûlée” de l’équipe, l’agent “G” Callen change d’identité à chaque nouvelle mission. Son partenaire, l’agent Sam Hanna, est un ancien militaire spécialisé dans la surveillance. Grâce à une technologie de pointe et à des agents caméléons spécifiquement entraînés, cette unité mène à bien des opérations complexes pour déjouer attentats et menaces terroristes.",https://fr.web.img6.acsta.net/c_310_420/pictures/18/11/06/17/57/4896042.jpg
24383,Norsemen,En cours,Depuis 2016,30,3,18,"Comédie, Historique",,"Kåre Conradi, Nils Jørgen Kaalstad, Silje Torp Faeravaag",Norvège,,,3.7,114,"En 790 avant notre ère, les Vikings de Norheim emploient leur temps à voler, piller, réduire leurs prisonniers à l'esclavage et résoudre les problèmes par la violence.",https://fr.web.img5.acsta.net/c_310_420/pictures/18/10/29/08/55/4823898.jpg
51,Sex & the City,Terminée,1998-2004,28,6,94,"Comédie, Drame, Romance",Darren Star,"Sarah Jessica Parker, Kim Cattrall, Cynthia Nixon",U.S.A.,,,3.1,28142,"Célibataire new-yorkaise, Carrie s'inspire de sa propre expérience, et de celle de ses amies, pour écrire des articles sur des thèmes touchant le sexe et les relations amoureuses.",https://fr.web.img4.acsta.net/c_310_420/pictures/21/02/11/14/01/2130940.jpg
24857,Si je ne t’avais pas rencontrée,En cours,Depuis 2019,50,1,,"Fantastique, Romance",Sergi Belbel,"Pablo Derqui, Mercedes Sampietro, Andrea Ros",Espagne,,,4.2,207,"Eduard, un mari et père qui a perdu sa famille dans un tragique accident, voyage dans des univers parallèles en quête d'un destin plus heureux pour sa femme.",https://fr.web.img2.acsta.net/c_310_420/pictures/19/03/15/09/49/3553294.jpg
4,Six Feet Under,Terminée,2001-2005,42,5,63,"Comédie, Drame",Alan Ball,"Peter Krause, Michael C. Hall, Frances Conroy",U.S.A.,,,3.9,16796,"La vie des membres de la famille Fisher bascule lorsque le père meurt dans un accident, laissant ainsi la direction de la société de pompes funèbres qu'il a fondée à ses deux fils.",https://fr.web.img5.acsta.net/c_310_420/pictures/21/02/11/13/58/3511467.jpg
17115,The Mist,Annulée,2017,42,1,10,"Drame, Epouvante-horreur",Christian Torpe,"Morgan Spector, Alyssa Sutherland, Gus Birney",U.S.A.,2.9,9,2.9,945,"Adaptation du roman homonyme de Stephen King, dans lequel un groupe de personnes est bloqué dans un supermarché à cause d'une brume surnaturelle dans laquelle se cachent des monstres.",https://fr.web.img2.acsta.net/c_310_420/pictures/17/04/26/10/59/430828.jpg
24010,What/If,En cours,Depuis 2019,60,1,10,"Drame, Thriller",Mike Kelley,"Renée Zellweger, Jane Levy, Blake Jenner",U.S.A.,3.1,10,3.1,1144,"A chaque nouvelle saison, cette série anthologique s'intéresse aux répercussions qu’une simple décision moralement inacceptable peut avoir sur notre vie et celle de ceux qui nous entourent.Saison 1 : Prêts à tout pour financer leur jeune entreprise pharmaceutique, une scientifique et son mari concluent un accord aussi mystérieux que scandaleux.",https://fr.web.img5.acsta.net/c_310_420/pictures/19/04/24/09/29/3955904.jpg
17468,Z Nation,Annulée,2014 - 2018,42,5,69,"Drame, Epouvante-horreur, Action","Karl Schaefer, Craig Engler","Kellita Smith, DJ Qualls, Keith Allan",U.S.A.,2.4,10,3.1,2075,"Trois ans après qu'un virus ait ravagé les Etats-Unis, un seul homme est immunisé contre l'infection. Le futur de l'humanité dépend de lui, mais le terrible secret qu'il cache pourrait mettre en danger l'équipe chargée de le conduire jusqu'en Californie, dans un laboratoire susceptible de développer un vaccin. Le chemin sera long et semé d'embûches...",https://fr.web.img6.acsta.net/c_310_420/pictures/18/10/30/16/15/2793888.jpg
