press_name,movie_id,press_rating
Télé Loisirs,279941,3.0
Télérama,279941,3.0
aVoir-aLire.com,279941,3.0
Le Monde,279941,2.0
Ouest France,279941,2.0
Première,279941,2.0
Sud Ouest,279941,2.0
Ouest France,286148,5.0
20 Minutes,286148,4.0
Ecran Large,286148,4.0
Le Figaro,286148,4.0
Le Journal du Dimanche,286148,4.0
Le Monde,286148,4.0
Le Parisien,286148,4.0
Les Fiches du Cinéma,286148,4.0
Les Inrockuptibles,286148,4.0
Mad Movies,286148,4.0
Télé Loisirs,286148,4.0
Cahiers du Cinéma,286148,3.0
Positif,286148,3.0
Première,286148,3.0
Télérama,286148,3.0
L'Obs,286148,2.0
Libération,286148,2.0
Culturopoing.com,264053,5.0
Ouest France,264053,5.0
Première,264053,5.0
Ecran Large,264053,4.0
L'Obs,264053,4.0
Le Figaro,264053,4.0
Le Journal du Dimanche,264053,4.0
Le Parisien,264053,4.0
Mad Movies,264053,4.0
Rolling Stone,264053,4.0
CinemaTeaser,264053,3.0
Télérama,264053,3.0
Le Monde,264053,2.0
Les Fiches du Cinéma,264053,2.0
Cahiers du Cinéma,264053,1.0
Voici,280503,5.0
20 Minutes,280503,4.0
Dernières Nouvelles d'Alsace,280503,4.0
Femme Actuelle,280503,4.0
Filmsactu,280503,4.0
Le Dauphiné Libéré,280503,4.0
Marie Claire,280503,4.0
Télé 7 Jours,280503,4.0
Télé Loisirs,280503,4.0
CinemaTeaser,280503,3.0
La Voix du Nord,280503,3.0
Le Figaro,280503,3.0
Le Journal du Dimanche,280503,3.0
Marianne,280503,3.0
Première,280503,3.0
Télérama,280503,3.0
Cahiers du Cinéma,280503,2.0
Culturopoing.com,280503,2.0
Ecran Large,280503,2.0
L'Obs,280503,2.0
La Croix,280503,2.0
Le Monde,280503,2.0
Le Parisien,280503,2.0
Les Fiches du Cinéma,280503,2.0
Positif,280503,2.0
Sud Ouest,280503,2.0
Les Inrockuptibles,280503,1.0
Elle,281709,5.0
Marianne,281709,5.0
Voici,281709,5.0
20 Minutes,281709,4.0
CinemaTeaser,281709,4.0
Dernières Nouvelles d'Alsace,281709,4.0
Femme Actuelle,281709,4.0
