user_id,user_name,series_id,user_rating,date
Z20201211224548093028022,Domi22,31219,3.0,2022-05-08
Z20210919001909976425425,Darlia Ludmilla OSSAVOU ODOUME,31219,5.0,2022-05-01
Z20210606012847701598471,KEVIN CERQUEIRA,31219,2.0,2022-04-30
Z20220502191716786688789,Mathis NICOLE,31219,4.0,2022-05-04
Z20210314143200528047574,Lolo R,31219,2.0,2022-04-27
Z20220506025153287693644,Valérie MUNIER,31219,1.0,2022-05-08
Z20220423135023976442555,Christian chapard de gavoste,31219,4.5,2022-04-29
Z20180915230933670404419,zyann42,31219,1.0,2022-04-27
Z20170427130100377462749,Sandrine S.,31219,0.5,2022-05-01
Z20190328015424131140678,Damien S,31219,5.0,2022-04-27
Z20220507200653832319035,Marylin Buzin-beguelin,31219,0.5,2022-05-11
Z20220424185503681551963,Giulia Loguetta,31219,5.0,2022-04-27
Z20201115000523102869295,Murielrosius,31219,4.5,2022-05-04
Z20220429113848214148213,Carolinehauwel,31219,1.5,2022-05-01
Z20220428030416062254227,love tchoms,31219,5.0,2022-04-30
Z20200916153740488704323,Nad2410,31219,5.0,2022-05-10
Z20190728082425824747984,Martine R,31219,0.5,2022-05-11
Z20210416025235636408108,Jean-patrick Cazes,31219,1.0,2022-04-27
Z20220426194547272911915,Alexandre Golay,31219,0.5,2022-04-27
Z20220511124339289357370,Nathalie Girten,31219,5.0,2022-05-11
Z20220511154423100205633,marion belorgey,31219,1.5,2022-05-11
Z20060120185249557812865,Akamaru,274,4.0,2011-04-04
Z20081122092054797892142,wesleybodin,274,2.5,2009-02-11
Z20050212011643893241315,moket,274,4.0,2006-09-29
Z20070307200253217784276,Xyrons,274,4.0,2008-07-26
Z20150611102648140178198,Fabien S.,274,4.0,2020-12-30
Z20110302224523870332136,7eme critique,274,1.5,2014-05-27
Z20080206144626710256034,GodMonsters,274,5.0,2009-12-06
Z20171227202728840555521,Chaîne 42,274,3.5,2020-10-17
Z20080712115052910383998,Alexarod,274,2.5,2013-08-25
Z20060704134253223546481,landofshit0,274,1.0,2014-05-02
Z20070221213254607907611,Flex07,274,3.0,2010-07-19
Z20100719145540520357232,heathledgerdu62,274,4.0,2013-04-25
Z20071209142618677824894,NammJones,274,5.0,2008-11-12
Z20060520132313997558685,JeremGar,274,4.0,2007-07-12
Z20050723115545143682894,gunbuster,274,2.5,2007-05-01
Z20070303152642750378787,elisa2102,274,5.0,2010-04-27
Z20060430164838640163367,Aulanius,274,3.0,2010-09-22
Z20080719102429627627951,Miamsolo,274,0.5,2014-03-04
Z20110416204054023788665,Jerem69tt,274,3.0,2011-07-07
Z20050531104705440897887,Peichan2,274,4.0,2008-02-18
Z20060302220906023349322,L'AlsacienParisien,274,5.0,2010-01-10
Z20100427023509903775925,Elthib7,274,1.0,2013-07-22
Z20100808111625543997398,Guillaume182,274,3.0,2011-03-11
Z20080602235158543785165,Sebmagic,274,1.0,2012-05-25
Z20120102143934650691337,HamsterPsycho,274,2.5,2017-06-15
Z20080223180810410698852,Claricewins,274,3.0,2010-06-06
Z20100408190910397837155,T-Tiff,274,3.5,2012-05-14
Z20070415212143350985879,marsjajan,274,0.5,2009-09-15
Z20051222072805213598232,guillaume b,274,5.0,2006-10-25
Z20080619202737393603819,Thombuilder,274,2.5,2010-09-30
Z20060314171314987706375,Enkko-7,274,5.0,2009-12-22
Z20070714002349010502821,Rotten Tomatoes,274,4.0,2012-01-09
Z20070225103255520693759,nekourouh,274,0.5,2009-01-22
Z20090905220522330606633,Oxymetal,274,0.5,2012-08-20
Z20050423225326903579222,Horacle,274,0.5,2009-04-16
Z20110807205546030839681,Jérémie Deuzé,274,3.5,2020-11-30
Z20101114103811370442894,Rik13,274,4.0,2010-11-21
Z20091030195203317677414,so13,274,2.5,2010-04-11
Z20110307145426453772612,Yéti et sa Boite a Cinéma,274,2.0,2013-05-27
Z20050705170420620107863,soliloo,274,4.0,2010-06-14
Z20090628144924253795989,GlaireWitch,274,0.5,2010-05-19
Z20110524231031143247851,Angela Ki La,274,5.0,2011-06-28
Z20060701153623203296925,seblecaribou,274,5.0,2008-05-04
Z20090216132834197657146,Daniel-2a,274,5.0,2009-03-07
Z20050802182446983335354,tony_pam,274,0.5,2009-05-16
Z20090117001345033867871,GermainMa,274,5.0,2009-08-07
Z20060526163620730863733,rooky,274,2.5,2012-05-27
Z20080719210006990932995,Outburst,274,5.0,2010-08-24
Z20060301175350513632691,Szerelem,274,2.5,2010-12-11
Z20071009020658543442489,saiyar,274,5.0,2007-10-09
Z20090405010908597979423,Pascal I,26636,3.5,2022-05-11
Z20100506121351567755736,Georges P.,26636,4.5,2022-04-24
Z20060911082115217477627,Lecter_H,26636,4.5,2022-04-30
Z20180405075253113886498,Jean N.,26636,3.0,2022-05-01
Z20161117212759953301234,Choupi C.,26636,3.5,2022-04-24
Z20110123125025983489347,washere,26636,4.5,2022-04-27
Z20110422013252420214938,tonyhw,26636,4.0,2022-04-18
Z20130223210326607787848,Pamolico - blog ,26636,3.0,2022-04-24
Z20140903230209160147358,Caroline M,26636,2.5,2022-05-01
Z20110728141227927889433,Julien Chevillard,26636,4.5,2022-04-15
Z20200623195145787440997,Cochon dindedu 72,26636,0.5,2022-05-04
Z20050709154838440954877,scarface85,26636,3.0,2022-04-27
Z20110910105321660857528,Insp. Harry Callahan,26636,4.0,2022-04-26
Z20190512115616172218858,Christine D,26636,4.0,2022-05-04
Z20130327025225250408389,CLIFF98830,26636,4.0,2022-04-20
Z20111113184416537319751,David Vidoni,26636,4.0,2022-04-22
Z20160425145045733761476,Annie N.,26636,4.5,2022-05-11
Z20210704144053730950682,Eli Zabeth,26636,3.5,2022-05-11
Z20220228230838988270626,Gabriel Calzada,26636,4.0,2022-04-27
Z20210220102028075304696,Rotk79,26636,3.5,2022-04-27
Z20220115215639025950139,EST FRIKS,26636,0.5,2022-05-04
Z20121118193443223586148,John G,26636,2.5,2022-04-24
Z20161104025137417296647,Soloo S,26636,1.0,2022-04-24
Z20210825182016290024516,Boronia,26636,3.0,2022-04-21
Z20200104001654822005324,Portalis,26636,2.5,2022-04-27
Z20191007203035562736427,Nathalie D,26636,4.0,2022-05-01
Z20210320215216586823786,Esteven,26636,4.0,2022-04-20
Z20180110022449610727312,Alain P.,26636,2.5,2022-04-27
Z20220422141002856915023,arnaudg,26636,4.0,2022-05-10
Z20121022182542230468657,Tayop,27798,3.0,2022-04-20
Z20120516090532753205331,tisma,27798,3.0,2022-04-27
Z20210220224904750081492,L. Lawliet,27798,3.0,2021-05-13
Z20210417125537045120856,Popcornlover.974,27798,3.0,2021-04-27
Z20200802154140919806467,Matteo Maestracci,27798,3.5,2021-05-08
Z20110121123140737837214,xsadg,27798,2.0,2022-04-27
Z20050922215539020223379,scrapy,27798,1.0,2021-05-25
Z20200707140911206284944,Scat,27798,1.0,2021-04-26
Z20050216232400750593231,Laurent B,27798,5.0,2022-04-13
Z20110822153240800146286,Benjamin A,27798,1.5,2021-05-05
Z20210126234917478072600,Luiz,27798,4.0,2021-12-24
Z20150217064839700802789,Sebastien G.,27798,0.5,2021-04-28
Z20190210154217353512973,Maritza o,27798,2.0,2021-05-03
Z20200708211603548064461,Matteo Dominici,27798,5.0,2021-04-27
Z20220417160845841708851,Liam.lbc,27798,4.5,2022-04-27
Z20201226162157305031615,Clara Bibi,27798,1.0,2022-04-04
Z20170627081504077289352,Laurent G.,27798,1.5,2021-05-04
Z20170304225858770614247,Sonia Z.,27798,5.0,2022-01-24
Z20140128185537697903267,Cyrille Racyno,27798,2.0,2021-07-10
Z20190305215136989860288,AGENT A,27798,0.5,2021-04-26
Z20190512231018144228449,Marie-Hélène V,27798,5.0,2022-04-10
Z20161215005200030455415,Ondes Vitales,27798,3.5,2022-03-29
Z20110704234143603956891,koolshenntm,27798,5.0,2022-04-04
Z20200111085109742541820,Head561,27798,4.0,2021-05-02
Z20191111174717139144024,Mike GLT,27798,0.5,2021-05-02
Z20131020012749370751553,Béatrice D,27798,3.0,2022-05-01
Z20200206132355117608590,Charles Lecompte,27798,4.5,2021-04-29
Z20160406195918210759373,lola L.,27798,1.0,2021-05-03
Z20220111123733080032436,Annicine,27798,4.5,2022-04-12
Z20170118113553993149915,Thilmada,27798,1.5,2021-05-06
Z20111204022246950119847,Maxime E,27798,4.0,2021-04-24
Z20150425213705543987874,Manon P.,27798,1.5,2022-04-13
Z20041119145708583662356,lolojustified,27798,4.5,2022-04-04
Z20200101195552112308751,Déborah,27798,5.0,2021-05-03
Z20130411012359243168799,Geoffrey P.,27798,3.5,2022-05-06
Z20210426000110085346342,Pierro07,27798,0.5,2021-04-26
Z20180401050938003344651,Dalavista1 .,27798,4.5,2021-05-06
