press_name,movie_id,press_rating
Critikat.com,211012,2.0
Le Monde,211012,2.0
Sud Ouest,211012,2.0
BIBA,279941,4.0
Dernières Nouvelles d'Alsace,279941,4.0
L'Humanité,279941,4.0
Le Dauphiné Libéré,279941,4.0
Le Figaro,279941,4.0
Le Parisien,279941,4.0
Voici,279941,4.0
L'Obs,279941,3.0
La Croix,279941,3.0
Le Journal du Dimanche,279941,3.0
Les Echos,279941,3.0
Les Fiches du Cinéma,279941,3.0
Télé 7 Jours,279941,3.0
Télé Loisirs,279941,3.0
Télérama,279941,3.0
aVoir-aLire.com,279941,3.0
Le Monde,279941,2.0
Ouest France,279941,2.0
Première,279941,2.0
Sud Ouest,279941,2.0
Le Parisien,260627,4.0
20 Minutes,260627,3.0
Le Figaro,260627,3.0
Le Monde,260627,3.0
Mad Movies,260627,3.0
Télé Loisirs,260627,3.0
L'Ecran Fantastique,260627,2.0
Le Journal du Geek,260627,2.0
Les Fiches du Cinéma,260627,2.0
Les Inrockuptibles,260627,2.0
Ecran Large,260627,1.0
IGN France,260627,1.0
Libération,260627,1.0
Le Parisien,280917,3.0
Télé Loisirs,280917,3.0
Le Journal du Dimanche,280917,2.0
Télérama,280917,1.0
Voici,280503,5.0
20 Minutes,280503,4.0
Dernières Nouvelles d'Alsace,280503,4.0
Femme Actuelle,280503,4.0
Filmsactu,280503,4.0
L'Ecran Fantastique,280503,4.0
Le Dauphiné Libéré,280503,4.0
Mad Movies,280503,4.0
Marie Claire,280503,4.0
Télé 7 Jours,280503,4.0
Télé Loisirs,280503,4.0
CinemaTeaser,280503,3.0
La Voix du Nord,280503,3.0
Le Figaro,280503,3.0
Le Journal du Dimanche,280503,3.0
Marianne,280503,3.0
Première,280503,3.0
Télérama,280503,3.0
Cahiers du Cinéma,280503,2.0
Culturopoing.com,280503,2.0
Ecran Large,280503,2.0
L'Obs,280503,2.0
La Croix,280503,2.0
Le Monde,280503,2.0
Le Parisien,280503,2.0
Les Fiches du Cinéma,280503,2.0
Positif,280503,2.0
Sud Ouest,280503,2.0
aVoir-aLire.com,280503,2.0
Les Inrockuptibles,280503,1.0
20 Minutes,293272,4.0
CNews,293272,4.0
Ouest France,293272,4.0
Ecran Large,293272,3.0
L'Obs,293272,3.0
Le Journal du Dimanche,293272,3.0
Le Parisien,293272,3.0
Télé 7 Jours,293272,3.0
Télé Loisirs,293272,3.0
La Voix du Nord,293272,2.0
Les Fiches du Cinéma,293272,1.0
Ouest France,286148,5.0
20 Minutes,286148,4.0
Ecran Large,286148,4.0
L'Ecran Fantastique,286148,4.0
Le Figaro,286148,4.0
Le Journal du Dimanche,286148,4.0
Le Monde,286148,4.0
Le Parisien,286148,4.0
Les Fiches du Cinéma,286148,4.0
Les Inrockuptibles,286148,4.0
Mad Movies,286148,4.0
Télé Loisirs,286148,4.0
Cahiers du Cinéma,286148,3.0
Positif,286148,3.0
Première,286148,3.0
Télérama,286148,3.0
aVoir-aLire.com,286148,3.0
L'Obs,286148,2.0
Libération,286148,2.0
Ouest France,286122,5.0
20 Minutes,286122,4.0
Closer,286122,4.0
Dernières Nouvelles d'Alsace,286122,4.0
Ecran Large,286122,4.0
L'Ecran Fantastique,286122,4.0
L'Humanité,286122,4.0
L'Obs,286122,4.0
La Septième Obsession,286122,4.0
Le Dauphiné Libéré,286122,4.0
Le Parisien,286122,4.0
Les Fiches du Cinéma,286122,4.0
Mad Movies,286122,4.0
Public,286122,4.0
Télé Loisirs,286122,4.0
Voici,286122,4.0
Culturopoing.com,286122,3.0
Le Journal du Dimanche,286122,3.0
Le Monde,286122,3.0
Les Echos,286122,3.0
Positif,286122,3.0
Première,286122,3.0
aVoir-aLire.com,286122,3.0
Cahiers du Cinéma,286122,2.0
Paris Match,286122,2.0
Télé 7 Jours,286122,2.0
Le Figaro,286122,1.0
Sud Ouest,286122,1.0
Télérama,286122,1.0
L'Humanité,264844,5.0
Les Echos,264844,5.0
Dernières Nouvelles d'Alsace,264844,4.0
Elle,264844,4.0
Femme Actuelle,264844,4.0
La Voix du Nord,264844,4.0
Le Dauphiné Libéré,264844,4.0
Le Figaro,264844,4.0
Le Journal du Dimanche,264844,4.0
Le Monde,264844,4.0
Le Parisien,264844,4.0
Les Fiches du Cinéma,264844,4.0
Les Inrockuptibles,264844,4.0
Marianne,264844,4.0
Marie Claire,264844,4.0
Ouest France,264844,4.0
Positif,264844,4.0
Sud Ouest,264844,4.0
Télérama,264844,4.0
Bande à part,264844,3.0
Cahiers du Cinéma,264844,3.0
Critikat.com,264844,3.0
L'Obs,264844,3.0
La Croix,264844,3.0
Libération,264844,3.0
Première,264844,3.0
aVoir-aLire.com,264844,3.0
Les Inrockuptibles,280134,5.0
Libération,280134,5.0
Cahiers du Cinéma,280134,4.0
Critikat.com,280134,4.0
Le Journal du Dimanche,280134,4.0
Le Monde,280134,4.0
Les Fiches du Cinéma,280134,4.0
Ouest France,280134,4.0
Télérama,280134,4.0
L'Obs,280134,3.0
Première,280134,3.0
Voici,281765,5.0
20 Minutes,281765,4.0
CinemaTeaser,281765,4.0
GQ,281765,4.0
Le Figaro,281765,4.0
Le Parisien,281765,4.0
Les Echos,281765,4.0
Marianne,281765,4.0
Ouest France,281765,4.0
Télé 7 Jours,281765,4.0
Télérama,281765,4.0
Cahiers du Cinéma,281765,3.0
Culturopoing.com,281765,3.0
Ecran Large,281765,3.0
L'Obs,281765,3.0
La Croix,281765,3.0
La Voix du Nord,281765,3.0
Le Monde,281765,3.0
Les Fiches du Cinéma,281765,3.0
Libération,281765,3.0
Première,281765,3.0
Le Journal du Dimanche,281765,2.0
Télé Loisirs,281765,2.0
aVoir-aLire.com,281765,2.0
Femme Actuelle,290271,4.0
Les Echos,290271,4.0
Les Fiches du Cinéma,290271,4.0
Libération,290271,4.0
Marianne,290271,4.0
Ouest France,290271,4.0
Sud Ouest,290271,4.0
Voici,290271,4.0
aVoir-aLire.com,290271,4.0
Bande à part,290271,3.0
L'Obs,290271,3.0
La Croix,290271,3.0
La Septième Obsession,290271,3.0
Le Figaro,290271,3.0
Le Journal du Dimanche,290271,3.0
Le Monde,290271,3.0
Télérama,290271,3.0
Première,290271,2.0
Le Parisien,290271,1.0
Bande à part,294969,5.0
Femme Actuelle,294969,5.0
Franceinfo Culture,294969,5.0
L'Humanité,294969,5.0
Ouest France,294969,5.0
20 Minutes,294969,4.0
Dernières Nouvelles d'Alsace,294969,4.0
Elle,294969,4.0
L'Obs,294969,4.0
Les Echos,294969,4.0
Les Inrockuptibles,294969,4.0
Marianne,294969,4.0
Paris Match,294969,4.0
Voici,294969,4.0
CinemaTeaser,294969,3.0
La Croix,294969,3.0
Le Figaro,294969,3.0
Le Monde,294969,3.0
Les Fiches du Cinéma,294969,3.0
Première,294969,3.0
Sud Ouest,294969,3.0
Cahiers du Cinéma,294969,2.0
Le Journal du Dimanche,294969,2.0
Le Parisien,294969,2.0
Libération,294969,2.0
Télérama,294969,2.0
aVoir-aLire.com,294969,2.0
Elle,293472,5.0
Femme Actuelle,293472,5.0
Le Journal du Dimanche,293472,5.0
Positif,293472,5.0
aVoir-aLire.com,293472,5.0
Cahiers du Cinéma,293472,4.0
Critikat.com,293472,4.0
Culturopoing.com,293472,4.0
L'Humanité,293472,4.0
L'Obs,293472,4.0
La Croix,293472,4.0
Les Echos,293472,4.0
Les Fiches du Cinéma,293472,4.0
Libération,293472,4.0
Ouest France,293472,4.0
Télérama,293472,4.0
Le Monde,293472,3.0
Première,293472,3.0
Sud Ouest,293472,3.0
Transfuge,293472,3.0
L'Humanité,251646,4.0
L'Obs,251646,4.0
Le Figaro,251646,4.0
Positif,251646,4.0
La Croix,251646,3.0
Le Journal du Dimanche,251646,3.0
Le Parisien,251646,3.0
Libération,251646,3.0
Télé 7 Jours,251646,3.0
Télérama,251646,3.0
La Voix du Nord,251646,2.0
Le Monde,251646,2.0
Les Fiches du Cinéma,251646,2.0
Première,251646,2.0
Franceinfo Culture,281976,5.0
La Voix du Nord,281976,5.0
Le Journal du Dimanche,281976,5.0
Ouest France,281976,5.0
20 Minutes,281976,4.0
CinemaTeaser,281976,4.0
Dernières Nouvelles d'Alsace,281976,4.0
La Croix,281976,4.0
Le Dauphiné Libéré,281976,4.0
Le Parisien,281976,4.0
Les Echos,281976,4.0
Marianne,281976,4.0
Positif,281976,4.0
Première,281976,4.0
Public,281976,4.0
Télé 7 Jours,281976,4.0
Télé Loisirs,281976,4.0
Voici,281976,4.0
aVoir-aLire.com,281976,4.0
Ecran Large,281976,3.0
L'Obs,281976,3.0
Le Figaro,281976,3.0
Les Fiches du Cinéma,281976,3.0
Libération,281976,3.0
Paris Match,281976,3.0
Télérama,281976,3.0
Cahiers du Cinéma,281976,2.0
Critikat.com,281976,2.0
Le Monde,281976,2.0
Sud Ouest,281976,2.0
Les Inrockuptibles,281976,1.0
Femme Actuelle,283755,4.0
Télé Loisirs,283755,4.0
L'Obs,283755,3.0
Le Figaro,283755,3.0
Les Fiches du Cinéma,283755,3.0
Première,283755,3.0
Rolling Stone,283755,3.0
La Voix du Nord,283755,2.0
Le Journal du Dimanche,283755,2.0
Le Monde,283755,2.0
Télérama,283755,2.0
Libération,283755,1.0
Culturopoing.com,291311,5.0
Dernières Nouvelles d'Alsace,291311,5.0
L'Humanité,291311,5.0
Le Dauphiné Libéré,291311,5.0
Le Monde,291311,5.0
Le Parisien,291311,5.0
Ouest France,291311,5.0
20 Minutes,291311,4.0
Cahiers du Cinéma,291311,4.0
CinemaTeaser,291311,4.0
Ecran Large,291311,4.0
Femme Actuelle,291311,4.0
La Septième Obsession,291311,4.0
Le Journal du Dimanche,291311,4.0
Les Fiches du Cinéma,291311,4.0
Les Inrockuptibles,291311,4.0
Libération,291311,4.0
Positif,291311,4.0
Première,291311,4.0
Rolling Stone,291311,4.0
Télérama,291311,1.0
Critikat.com,291311,3.0
Les Echos,291311,3.0
Sud Ouest,291311,3.0
aVoir-aLire.com,291311,3.0
L'Obs,291311,2.0
La Croix,291311,2.0
20 Minutes,284864,5.0
